rebalance_date,next_date,portfolio_return,capital
2011-03-31,2011-06-30,0.012421612366113105,1012421.6123661131
2011-06-30,2011-09-30,-0.03207659250029547,979946.5768677532
2011-09-30,2011-12-31,-0.03199634436586313,948591.8687341438
2011-12-31,2012-03-31,0.14552670559495118,1086637.318345182
2012-03-31,2012-06-30,0.052954413206626784,1144179.5599065737
2012-06-30,2012-09-30,0.1341282816005593,1297646.3981193267
2012-09-30,2012-12-31,0.06446136377794856,1381294.4546436411
2012-12-31,2013-03-31,-0.04454042313529006,1319771.0151593836
2013-03-31,2013-06-30,0.06339527825645572,1403438.265900218
2013-06-30,2013-09-30,-0.011684700006986376,1387039.5107848486
2013-09-30,2013-12-31,0.10065426667253162,1526650.9555887245
2013-12-31,2014-03-31,0.09977028330863091,1678965.3539412036
2014-03-31,2014-06-30,0.19964535415064275,2014162.9866354542
2014-06-30,2014-09-30,0.06635845560698855,2147819.7317693424
2014-09-30,2014-12-31,0.12720001500191155,2421022.4338718043
2014-12-31,2015-03-31,0.08521667923558464,2627333.9260412124
2015-03-31,2015-06-30,0.00728810257950511,2646482.2052048147
2015-06-30,2015-09-30,0.0013679594843404998,2650102.4856375633
2015-09-30,2015-12-31,-0.0011184332725646532,2647138.5228419197
2015-12-31,2016-03-31,-0.013125760959830446,2612392.815363538
2016-03-31,2016-06-30,0.11624465967015368,2916069.529110227
2016-06-30,2016-09-30,0.14400052115336043,3335985.061021534
2016-09-30,2016-12-31,-0.06894358214902237,3105990.3009190843
2016-12-31,2017-03-31,0.20471585090209496,3741835.748265389
2017-03-31,2017-06-30,0.02728499016229062,3843931.6998457178
2017-06-30,2017-09-30,0.10714470215169919,4255788.616917162
2017-09-30,2017-12-31,0.16181678015749174,4944446.627937602
2017-12-31,2018-03-31,-0.05818414154638778,4656758.245469121
2018-03-31,2018-06-30,0.045345342984751624,4867920.545306989
2018-06-30,2018-09-30,0.011691109670101457,4924831.938267513
2018-09-30,2018-12-31,0.040694748290136314,5125246.734366533
2018-12-31,2019-03-31,0.04695948841448515,5365925.699010396
2019-03-31,2019-06-30,0.04674985123231238,5616781.927162774
2019-06-30,2019-09-30,-0.028472702519235213,5456856.966235252
2019-09-30,2019-12-31,0.06146552196996088,5792265.527980319
2019-12-31,2020-03-31,-0.23042456431108435,4457585.267321341
2020-03-31,2020-06-30,0.24776530724030765,5562020.250629081
2020-06-30,2020-09-30,0.16164331429402917,6461083.638111273
2020-09-30,2020-12-31,0.2255800070964922,7918574.931047443
2020-12-31,2021-03-31,0.14144012502645076,9038579.159326112
2021-03-31,2021-06-30,0.1831572930499749,10694060.851166202
2021-06-30,2021-09-30,0.18864238382921983,12711413.982944928
2021-09-30,2021-12-31,0.0779982288456973,13702881.759739064
2021-12-31,2022-03-31,0.07154940941469207,14683314.856927749
2022-03-31,2022-06-30,-0.135089410230495,12699754.512676714
2022-06-30,2022-09-30,0.24907812837220117,15862985.597480647
2022-09-30,2022-12-31,0.09469272225780376,17365094.886842422
2022-12-31,2023-03-31,-0.0948653573892802,15717748.954303354
2023-03-31,2023-06-30,0.2527305445825738,19690104.20713662
2023-06-30,2023-09-30,0.26071668808823406,24823642.964133482
2023-09-30,2023-12-31,0.22246512954713546,30346037.911981273
2023-12-31,2024-03-31,0.1910397232326917,36143336.59589495
2024-03-31,2024-06-30,0.24393019693857762,44959787.8097489
2024-06-30,2024-09-30,0.039274501647876006,46725561.070171036
2024-09-30,2024-12-31,-0.121907709704032,41029354.93547061
2024-12-31,2025-03-31,-0.07146563233363837,38097166.14076592
2025-03-31,2025-06-30,0.13915263928537763,43398487.358547024
2025-06-30,2025-09-30,-0.061156962502205044,40744367.69450794
2025-09-30,2025-12-31,-0.010032549492174298,40335597.80908544
